"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","293","Create user","LMS service","Thu Dec 04 08:07:55 UTC 2025","passed","Thu Dec 04 08:07:55 UTC 2025","Create entity","Users","",""
"","46","Get exercises","LMS service","Thu Dec 04 08:07:51 UTC 2025","passed","Thu Dec 04 08:07:51 UTC 2025","Get entities","Exercises","",""
"","32","Update course","LMS service","Thu Dec 04 08:07:48 UTC 2025","passed","Thu Dec 04 08:07:48 UTC 2025","Update entity","Courses","",""
"","268","Create file with empty directory","LMS service","Thu Dec 04 08:07:53 UTC 2025","passed","Thu Dec 04 08:07:54 UTC 2025","Validate entity","Files","",""
"","49","Get exercise","LMS service","Thu Dec 04 08:07:50 UTC 2025","passed","Thu Dec 04 08:07:50 UTC 2025","Get entity","Exercises","",""
"","19","Delete exercise","LMS service","Thu Dec 04 08:07:50 UTC 2025","passed","Thu Dec 04 08:07:50 UTC 2025","Delete entity","Exercises","",""
"","294","Delete file","LMS service","Thu Dec 04 08:07:54 UTC 2025","passed","Thu Dec 04 08:07:54 UTC 2025","Delete entity","Files","",""
"","39","Create courses","LMS service","Thu Dec 04 08:07:47 UTC 2025","passed","Thu Dec 04 08:07:47 UTC 2025","Create entity","Courses","",""
"","549","Login with correct email and password","LMS service","Thu Dec 04 08:07:46 UTC 2025","passed","Thu Dec 04 08:07:47 UTC 2025","Login","Authentication","",""
"","32","Get courses","LMS service","Thu Dec 04 08:07:48 UTC 2025","passed","Thu Dec 04 08:07:48 UTC 2025","Get entities","Courses","",""
"","560","Create user","LMS service","Thu Dec 04 08:07:55 UTC 2025","passed","Thu Dec 04 08:07:55 UTC 2025","Create entity","Users","",""
"","257","Create file with empty filename","LMS service","Thu Dec 04 08:07:52 UTC 2025","passed","Thu Dec 04 08:07:52 UTC 2025","Validate entity","Files","",""
"","26","Create exercise","LMS service","Thu Dec 04 08:07:49 UTC 2025","passed","Thu Dec 04 08:07:49 UTC 2025","Create entity","Exercises","",""
"","18","Get file","LMS service","Thu Dec 04 08:07:53 UTC 2025","passed","Thu Dec 04 08:07:53 UTC 2025","Get entity","Files","",""
"","25","Update exercise","LMS service","Thu Dec 04 08:07:49 UTC 2025","passed","Thu Dec 04 08:07:49 UTC 2025","Update entity","Exercises","",""
"","12","Get user me","LMS service","Thu Dec 04 08:07:56 UTC 2025","passed","Thu Dec 04 08:07:56 UTC 2025","Get entity","Users","",""
"","267","Get file with incorrect file id","LMS service","Thu Dec 04 08:07:54 UTC 2025","passed","Thu Dec 04 08:07:55 UTC 2025","Validate entity","Files","",""
"","543","Create user","LMS service","Thu Dec 04 08:07:54 UTC 2025","passed","Thu Dec 04 08:07:55 UTC 2025","Create entity","Users","",""
"","17","Create file","LMS service","Thu Dec 04 08:07:51 UTC 2025","passed","Thu Dec 04 08:07:51 UTC 2025","Create entity","Files","",""
